[2025-12-02 17:01:26,485] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:01:27,070] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 17:01:27,071] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:01:27,268] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 17:01:27,269] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:01:27,492] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 17:01:27,493] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:01:27,804] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 17:01:27,805] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:01:28,051] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 17:01:28,052] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:01:28,285] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 17:01:28,286] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:01:28,996] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 17:01:28,997] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:01:29,189] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 17:01:29,190] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 17:02:05,609] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 17:02:05,629] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 17:02:07,914] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:02:07,915] WARNING [django.server:213] "DELETE /v1/products/5/ HTTP/1.1" 404 12893
[2025-12-02 17:02:13,109] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:02:13,110] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:02:39,703] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 17:02:39,704] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 17:03:19,972] INFO [django.server:213] "POST /v1/products/ HTTP/1.1" 201 265
[2025-12-02 17:03:19,993] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1373
[2025-12-02 17:03:26,902] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1373
[2025-12-02 17:03:34,087] INFO [django.server:213] "OPTIONS /v1/products/6/ HTTP/1.1" 200 0
[2025-12-02 17:03:34,096] WARNING [django.request:253] Not Found: /v1/products/6/
[2025-12-02 17:03:34,097] WARNING [django.server:213] "PUT /v1/products/6/ HTTP/1.1" 404 12890
[2025-12-02 17:03:54,970] WARNING [django.request:253] Not Found: /v1/products/6/
[2025-12-02 17:03:54,971] WARNING [django.server:213] "PUT /v1/products/6/ HTTP/1.1" 404 12890
[2025-12-02 17:04:28,968] INFO [django.server:213] "GET /v1/products/6 HTTP/1.1" 200 12892
[2025-12-02 17:04:44,980] INFO [django.server:213] "PUT /v1/products/6 HTTP/1.1" 200 12892
[2025-12-02 17:04:52,392] WARNING [django.request:253] Not Found: /v1/products/6/
[2025-12-02 17:04:52,393] WARNING [django.server:213] "PUT /v1/products/6/ HTTP/1.1" 404 12890
[2025-12-02 17:07:39,977] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1373
[2025-12-02 17:07:40,013] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1373
[2025-12-02 17:07:46,118] INFO [django.server:213] "OPTIONS /v1/products/6 HTTP/1.1" 200 0
[2025-12-02 17:07:46,142] INFO [django.server:213] "PUT /v1/products/6 HTTP/1.1" 200 265
[2025-12-02 17:07:46,167] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1373
[2025-12-02 17:07:48,891] WARNING [django.request:253] Not Found: /v1/products/6/
[2025-12-02 17:07:48,893] WARNING [django.server:213] "DELETE /v1/products/6/ HTTP/1.1" 404 12893
[2025-12-02 17:07:53,054] WARNING [django.request:253] Not Found: /v1/products/6/
[2025-12-02 17:07:53,056] WARNING [django.server:213] "DELETE /v1/products/6/ HTTP/1.1" 404 12893
[2025-12-02 17:08:05,924] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1373
[2025-12-02 17:08:05,948] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1373
